Height,Age,Income,RomanticGestureScore,CompatibilityScore,CommunicationScore,DistanceKM,Response,AgeCategory
156,59,7977,3,1,1,45,1,Senior
169,32,5842,0,1,5,46,1,Middle-aged
178,42,17638,2,5,5,13,0,Middle-aged
164,78,8793,0,0,7,52,0,Senior
160,35,15262,6,0,0,9,1,Middle-aged
157,49,6659,0,1,6,57,0,Middle-aged
178,80,13789,10,3,6,69,0,Senior
170,23,10162,3,1,8,43,1,Young
156,59,15705,0,3,3,7,0,Senior
175,35,17327,1,2,6,44,0,Middle-aged
168,50,11446,10,2,5,44,0,Middle-aged
172,72,9270,0,8,3,95,1,Senior
160,61,18286,4,7,9,68,1,Senior
160,44,8603,6,9,7,77,0,Middle-aged
173,63,18772,2,8,2,44,1,Senior
170,31,11764,7,0,7,79,0,Middle-aged
153,45,6216,4,4,4,40,0,Middle-aged
157,56,7291,4,3,3,77,0,Senior
173,67,18123,4,8,2,43,1,Senior
152,52,19615,7,2,9,62,1,Senior
171,47,8811,1,4,6,43,0,Middle-aged
170,28,18347,1,7,6,90,1,Young
151,31,19892,7,9,5,19,0,Middle-aged
173,24,9993,8,4,2,49,1,Young
161,73,18851,10,8,8,65,0,Senior
179,71,10142,9,1,1,77,1,Senior
155,73,11862,9,5,2,25,1,Senior
151,47,14123,1,4,0,84,1,Middle-aged
177,75,15330,3,8,6,41,0,Senior
170,54,11533,7,6,1,23,0,Senior
150,24,17194,1,7,9,58,1,Young
161,53,12526,3,6,7,88,0,Senior
175,65,19885,9,9,8,43,1,Senior
171,53,7978,0,9,1,40,0,Senior
178,32,10347,1,4,5,30,0,Middle-aged
161,58,18513,6,4,0,34,1,Senior
174,61,18661,0,3,7,10,0,Senior
166,64,17084,0,1,4,60,1,Senior
176,67,12933,1,8,8,1,1,Senior
176,77,18349,3,9,2,12,1,Senior
180,33,9595,6,9,1,46,1,Middle-aged
159,30,19010,3,9,6,93,0,Young
177,61,16110,4,9,6,75,1,Senior
177,57,15756,3,2,9,17,1,Senior
165,23,11211,3,2,4,84,0,Young
164,72,14955,8,2,6,58,1,Senior
179,52,7170,5,7,5,38,1,Senior
179,26,18996,2,5,8,6,1,Young
164,75,13527,5,0,2,62,1,Senior
179,60,14368,6,2,3,84,1,Senior
168,27,8021,6,3,8,74,0,Young
161,56,13970,7,1,9,10,0,Senior
172,70,12836,3,5,7,95,1,Senior
169,29,6185,0,9,9,26,1,Young
174,62,8285,5,0,5,58,1,Senior
152,76,19221,7,0,2,17,0,Senior
154,34,8447,4,7,8,53,1,Middle-aged
168,57,8991,2,3,8,78,1,Senior
156,34,18754,3,0,5,5,1,Middle-aged
170,24,15662,7,6,1,67,0,Young
158,48,18849,5,8,6,20,1,Middle-aged
156,38,14130,4,9,8,51,1,Middle-aged
167,73,9899,8,6,8,46,0,Senior
153,70,17198,9,0,2,79,1,Senior
174,29,6935,2,0,1,67,0,Young
177,31,13825,6,0,4,3,1,Middle-aged
163,73,14445,8,7,9,23,1,Senior
167,23,14274,10,6,6,9,1,Young
175,50,15335,10,2,2,11,0,Middle-aged
158,37,6285,3,2,3,47,0,Middle-aged
175,35,13545,9,2,9,49,1,Middle-aged
170,59,12479,9,1,1,44,0,Senior
151,55,10255,2,3,9,13,1,Senior
169,44,6885,0,6,1,8,0,Middle-aged
177,42,15010,8,8,6,63,1,Middle-aged
164,31,10062,0,2,1,22,0,Middle-aged
177,53,12066,1,9,0,38,0,Senior
156,55,15712,8,6,3,27,1,Senior
161,56,19765,4,3,5,26,0,Senior
178,22,17200,3,0,9,23,0,Young
157,28,8022,8,4,9,95,1,Young
164,80,15776,8,7,3,93,1,Senior
152,72,10265,1,2,0,65,0,Senior
163,37,6547,2,9,0,74,1,Middle-aged
166,62,19422,2,3,8,47,1,Senior
153,54,17210,4,2,0,61,0,Senior
167,76,9204,2,9,6,46,0,Senior
157,74,12590,9,7,6,4,0,Senior
153,53,6368,5,9,0,31,1,Senior
151,60,16529,1,7,0,4,1,Senior
179,33,6757,5,3,5,29,0,Middle-aged
155,23,18281,5,1,7,73,1,Young
171,48,14709,1,2,6,79,0,Middle-aged
159,60,18644,5,2,5,44,0,Senior
153,64,9917,5,3,9,3,1,Senior
171,69,8484,5,1,2,59,1,Senior
178,34,16877,4,1,6,79,0,Middle-aged
180,47,18224,6,2,5,53,1,Middle-aged
167,61,8052,4,0,7,11,1,Senior
175,35,15888,10,7,3,6,0,Middle-aged
161,31,13382,0,5,8,47,0,Middle-aged
151,71,19284,8,2,0,7,1,Senior
159,24,5932,2,0,6,68,1,Young
179,53,9237,1,2,8,85,1,Senior
153,61,19180,9,0,9,1,0,Senior
163,20,12240,5,2,0,56,0,
180,58,8238,7,3,9,87,0,Senior
165,51,15407,1,5,2,77,0,Senior
164,45,5565,3,6,6,43,0,Middle-aged
157,36,10378,1,6,8,28,1,Middle-aged
163,67,10558,8,8,0,29,0,Senior
172,78,14326,9,7,5,18,0,Senior
177,46,5743,1,3,1,87,1,Middle-aged
174,43,13864,9,5,4,92,0,Middle-aged
179,54,16103,1,0,6,73,0,Senior
157,65,13722,4,7,6,62,1,Senior
170,61,10409,4,5,9,6,0,Senior
165,73,16213,6,1,6,16,1,Senior
162,58,13753,0,7,3,1,1,Senior
167,45,10629,1,3,5,22,1,Middle-aged
164,68,11318,10,8,9,46,1,Senior
170,57,5301,10,3,5,62,0,Senior
173,42,8767,5,0,6,23,0,Middle-aged
175,41,9280,1,6,8,21,0,Middle-aged
174,23,12506,3,9,5,51,1,Young
177,68,13701,9,4,9,95,1,Senior
177,78,11962,5,9,0,38,0,Senior
177,28,10429,6,4,7,28,1,Young
162,23,18657,9,3,1,44,0,Young
158,26,12248,4,5,2,91,1,Young
178,42,8445,7,0,4,39,0,Middle-aged
164,21,7203,5,2,5,42,1,Young
162,68,7834,4,6,6,42,1,Senior
150,43,13986,3,7,3,60,0,Middle-aged
174,59,7479,5,8,2,57,1,Senior
156,74,14715,5,0,8,77,0,Senior
158,50,9856,5,3,3,96,0,Middle-aged
173,66,15386,0,1,8,7,1,Senior
150,50,15720,5,1,8,51,1,Middle-aged
161,66,5434,0,0,2,97,0,Senior
157,59,18830,4,4,2,77,1,Senior
173,67,15230,6,1,7,32,1,Senior
180,70,6706,0,3,0,7,1,Senior
160,62,13260,0,8,5,76,1,Senior
168,53,10725,5,2,5,40,1,Senior
166,74,6904,6,7,8,15,1,Senior
157,43,12018,5,9,1,59,1,Middle-aged
152,68,8959,4,5,7,85,1,Senior
152,79,19521,5,9,6,12,0,Senior
150,45,16143,2,4,1,77,1,Middle-aged
176,35,11825,8,1,0,42,1,Middle-aged
154,76,11347,4,2,3,39,1,Senior
159,66,17841,1,7,1,63,0,Senior
156,32,11156,9,8,2,2,1,Middle-aged
175,34,7713,9,6,1,29,0,Middle-aged
158,46,18585,6,0,8,61,1,Middle-aged
177,23,16561,2,5,3,29,0,Young
156,35,11194,0,6,0,38,1,Middle-aged
158,49,17787,2,5,7,7,0,Middle-aged
157,63,11512,8,9,3,30,1,Senior
161,49,11867,4,1,9,87,1,Middle-aged
151,55,8727,6,8,7,92,1,Senior
150,22,15596,2,2,7,56,0,Young
165,41,16517,3,5,8,87,1,Middle-aged
172,68,8546,0,5,9,36,0,Senior
172,41,18817,2,7,6,42,1,Middle-aged
179,69,7303,6,3,3,93,1,Senior
173,76,8681,3,5,1,4,0,Senior
154,69,12852,1,0,5,84,1,Senior
152,74,8221,4,8,3,5,1,Senior
161,79,18799,4,8,5,46,1,Senior
157,68,9374,1,6,7,75,0,Senior
171,31,6082,10,0,2,2,1,Middle-aged
176,74,13637,5,2,0,54,1,Senior
152,40,19448,9,4,4,88,0,Middle-aged
150,75,18123,3,3,2,59,1,Senior
152,23,18042,0,4,5,33,0,Young
154,50,19133,2,6,2,22,0,Middle-aged
164,63,6592,8,8,0,47,0,Senior
163,50,10608,9,0,8,6,1,Middle-aged
152,77,10526,6,4,4,24,0,Senior
150,42,19702,5,2,1,93,1,Middle-aged
154,73,10179,0,2,1,49,0,Senior
175,72,11472,8,1,8,96,0,Senior
172,39,7775,8,5,0,94,0,Middle-aged
180,34,17008,0,5,9,51,1,Middle-aged
163,42,16245,5,2,2,41,0,Middle-aged
156,47,6590,6,0,9,67,0,Middle-aged
176,35,11004,1,6,6,89,0,Middle-aged
158,56,12230,9,1,0,92,0,Senior
164,40,7231,7,7,1,79,1,Middle-aged
164,34,10118,7,2,5,81,1,Middle-aged
175,36,11454,5,0,8,2,0,Middle-aged
159,69,12960,8,9,8,91,0,Senior
177,56,6561,2,8,7,78,1,Senior
162,32,17464,1,4,2,43,0,Middle-aged
168,38,8646,1,0,1,32,1,Middle-aged
180,49,12596,5,9,0,12,0,Middle-aged
156,64,12240,6,5,8,23,0,Senior
166,37,9942,5,9,4,16,0,Middle-aged
169,33,8238,10,2,2,44,1,Middle-aged
178,55,18536,2,3,9,2,0,Senior
153,55,6600,4,7,9,7,0,Senior
179,39,10700,7,4,4,21,0,Middle-aged
154,71,11071,5,5,2,58,0,Senior
172,38,15248,1,9,8,95,0,Middle-aged
156,64,17523,6,3,0,23,0,Senior
162,63,5709,7,5,0,60,1,Senior
164,26,7971,3,2,2,25,0,Young
160,76,15924,0,9,5,35,0,Senior
178,63,5793,1,0,1,99,1,Senior
153,72,8099,3,5,0,45,1,Senior
162,23,16047,6,0,7,7,1,Young
156,78,11030,1,9,9,69,1,Senior
176,53,10765,5,2,8,32,1,Senior
168,21,5026,1,7,9,53,0,Young
171,24,11693,6,6,0,69,1,Young
177,74,16459,1,7,2,25,0,Senior
151,29,10322,2,9,4,95,0,Young
159,51,13276,8,9,6,84,0,Senior
162,61,10951,3,1,9,86,1,Senior
179,60,8101,4,9,3,77,1,Senior
174,32,11609,8,6,5,2,1,Middle-aged
170,58,14314,6,3,0,86,0,Senior
155,24,10309,7,0,3,61,1,Young
177,77,5011,10,2,7,9,1,Senior
177,29,12770,2,4,4,51,1,Young
161,29,18300,10,9,7,2,1,Young
161,57,14940,10,7,0,45,0,Senior
169,46,16301,3,1,9,32,1,Middle-aged
179,79,15068,6,1,8,72,0,Senior
179,70,15811,3,7,3,80,1,Senior
160,40,10413,1,8,8,97,1,Middle-aged
175,27,18671,9,9,7,75,0,Young
172,20,10774,5,0,7,32,0,
177,47,5179,8,1,1,8,1,Middle-aged
174,68,5796,1,3,2,96,1,Senior
156,58,12279,0,2,9,85,0,Senior
179,33,17005,7,0,8,89,0,Middle-aged
150,40,18755,0,3,2,20,0,Middle-aged
150,49,12188,0,1,7,65,0,Middle-aged
174,40,12312,2,9,4,21,1,Middle-aged
176,68,7024,4,4,6,7,0,Senior
179,28,12666,8,0,3,89,1,Young
174,36,8217,10,7,7,9,1,Middle-aged
169,24,11584,9,9,3,86,0,Young
162,77,14078,1,1,4,2,0,Senior
158,76,15660,0,2,0,19,1,Senior
152,50,16579,0,2,9,60,1,Middle-aged
156,71,10285,7,3,7,70,0,Senior
155,80,18963,9,6,6,59,1,Senior
157,59,12370,9,8,4,69,1,Senior
176,57,6519,9,2,5,45,0,Senior
158,62,11611,1,0,0,62,0,Senior
179,38,11856,8,9,7,10,0,Middle-aged
154,55,7432,8,0,8,65,1,Senior
150,69,11457,1,5,4,26,0,Senior
168,52,9866,2,4,9,90,0,Senior
159,32,18566,1,9,6,60,0,Middle-aged
161,33,10054,5,6,9,18,1,Middle-aged
173,75,14108,6,6,3,59,0,Senior
164,52,7070,5,2,5,21,1,Senior
176,48,17168,2,6,1,46,0,Middle-aged
171,62,6781,2,8,3,12,1,Senior
173,68,13530,1,7,4,78,1,Senior
158,55,6516,1,2,8,32,0,Senior
169,77,16062,10,9,8,39,0,Senior
166,63,16774,4,4,7,99,0,Senior
179,29,19701,10,7,3,81,0,Young
166,50,10491,10,1,5,55,1,Middle-aged
175,25,14106,7,6,6,55,0,Young
169,76,10949,5,9,0,10,1,Senior
161,20,8290,8,9,0,35,0,
179,26,9570,10,6,3,80,0,Young
156,77,14638,4,7,2,6,0,Senior
151,46,6379,9,0,9,68,0,Middle-aged
152,40,14675,3,7,3,62,0,Middle-aged
166,47,12670,8,0,8,9,1,Middle-aged
154,35,15266,9,2,1,29,0,Middle-aged
166,75,5800,10,8,3,71,1,Senior
173,65,14438,4,3,6,80,1,Senior
166,42,18151,0,9,1,6,1,Middle-aged
176,71,15929,4,8,7,44,1,Senior
166,39,10267,4,0,9,64,1,Middle-aged
151,57,8495,4,7,3,67,0,Senior
151,73,18026,1,2,8,44,0,Senior
177,44,18662,5,6,0,78,1,Middle-aged
171,47,8257,4,1,6,14,0,Middle-aged
172,24,11558,1,6,0,9,1,Young
